TA,Section,Location,Times
Danny19,021C A03,OLSON217,1910-2000(T)
Danny20,017A E03,BAINER1130,1810-1900(R)
Danny20,021B A07,GIEDT1006,1910-2000(R)
Danny21,016B 002,HARING2205,1710-1800(FMW)
Danny21,021A E04,YOUNG192,1810-1900(R)
Danny22,021D B04,OLSON261,2010-2100(R)
Danny22,021D C02,HOAGLD108,1710-1800(T)
Danny23,017A A03,BAINER1060,1810-1900(T)
Danny23,025 A01,HART1116,1710-1800(T)
Danny24,021C A05,BAINER1132,2010-2100(T)
Danny24,025 A02,HART1116,1810-1900(T)
Danny25,017A D01,OLSON147,1710-1800(R)
Danny25,021A E01,PHYSIC130,1510-1600(R)
Danny26,017B A01,STORER1342,1810-1900(T)
Danny26,022B 002,WELLMN216,1310-1400(FMW)
Danny27,021B 001,CRUESS107,1910-2000(R)
Danny27,135A 002,WELLMN1,1610-1700(R)
Danny28,012 002,HARING2205,900-950(FMW)
Danny28,021D A01,WELLMN212,1910-2000(T)
Danny29,021A A01,YOUNG192,1610-1700(T)
Danny29,021A B02,WELLMN229,1710-1800(R)
Danny30,125A A01,KERR293,1610-1700(R)
Danny30,148 001,STORER1344,1710-1800(R)
Danny31,017A E01,HUTCH102,1910-2000(R)
Danny31,021A B05,PHYSIC148,2010-2100(R)
Danny32,017A C04,YOUNG192,1910-2000(R)
Danny32,017C 001,CRUESS107,1710-1800(R)
Danny33,021A C01,BAINER1130,1610-1700(T)
Danny33,021A E05,BAINER1132,1910-2000(R)
Danny34,017A A05,BAINER1060,2010-2100(T)
Danny34,017A C01,BAINER1060,1610-1700(R)
Danny35,021C A01,HGYM290,1910-2000(T)
Danny35,021C A06,OLSON217,1810-1900(T)
Danny36,021A A06,GIEDT1006,1810-1900(T)
Danny36,135A 001,ART204,1410-1500(T)
Danny37,017B A03,BAINER1060,1610-1700(T)
Danny37,017C A06,OLSON261,1810-1900(T)
Danny38,016A 001,YOUNG198,1000-1050(FMW)
Danny38,115A 001,CRUESS107,1810-1900(T)
Danny39,017B A04,CHEM176,1810-1900(T)
Danny39,017C A05,WELLMN229,2010-2100(T)
Danny40,021D B06,HGYM290,1810-1900(R)
Danny40,147 001,OLSON147,1310-1400(FMW)
Danny41,021A A04,YOUNG192,1710-1800(T)
Danny41,021A B06,PHYSIC148,1810-1900(R)
Danny42,017A B02,BAINER1130,1710-1800(T)
Danny42,021A F01,WELLMN1,1810-1900(T)
Danny43,021A A02,YOUNG192,1810-1900(T)
Danny43,021A C03,HOAGLD108,2010-2100(T)
Danny44,021D 001,CRUESS107,1810-1900(R)
Danny44,021D C03,OLSON261,1610-1700(T)
Danny45,017A E05,OLSON251,2010-2100(R)
Danny45,021D C04,OLSON251,1910-2000(T)
Danny46,021A C04,HUTCH102,1910-2000(T)
Danny46,021A G01,OLSON223,1910-2000(R)
Danny47,017A B03,BAINER1130,1810-1900(T)
Danny47,017C A01,BAINER1132,1610-1700(T)
Danny48,021C B02,WELLMN1,2010-2100(R)
Danny48,150A B01,BAINER1128,1810-1900(T)
Danny49,017A G01,CRUESS107,1610-1700(R)
Danny49,017C A02,WELLMN229,1710-1800(T)
Danny50,017A C03,BAINER1060,1810-1900(R)
Danny50,021D A02,WELLMN212,1810-1900(T)
Danny51,017A A04,BAINER1060,1910-2000(T)
Danny51,021C A02,HGYM290,1810-1900(T)
Danny52,021B C01,OLSON205,1810-1900(T)
Danny52,128A 001,BAINER1062,1100-1150(FMW)
Danny53,017A A01,BAINER1060,1710-1800(T)
Danny53,150A A01,BAINER1134,1810-1900(R)
Danny54,021A C06,HUTCH102,1810-1900(T)
Danny54,021D C05,PHYSIC148,2010-2100(T)
Danny55,017A B01,BAINER1130,1910-2000(T)
Danny55,021A E06,BAINER1132,1810-1900(R)
Danny56,021B B02,HOAGLD168,1910-2000(T)
Danny56,025 B01,BAINER1128,1810-1900(R)
Danny57,021B A01,HUTCH115,1710-1800(R)
Danny57,021C A04,YOUNG192,2010-2100(T)
Danny58,017A A02,BAINER1132,1710-1800(T)
Danny58,021A C02,WELLMN7,1810-1900(T)
